R 5
U 3 (#1ef723)
R 5 (#351200)
U 10 (#560f13)
R 4 (#687990)
D 10 (#4f2d23)
R 4 (#3afc02)
U 2 (#479751)
R 4 (#22e722)
U 6 (#32c2b3)
R 8 (#3233f2)
U 3 (#414aa3)
R 2 (#122912)
U 6 (#2cb103)
R 8 (#122910)
U 5 (#5073e3)
R 3 (#3e3442)
U 3 (#2fd121)
R 7 (#0abaa2)
U 3 (#654641)
R 10 (#48f702)
U 5 (#0fac31)
R 3 (#53b1a0)
U 3 (#19abf1)
L 6 (#63a8a2)
U 3 (#32c2b1)
L 4 (#568032)
U 3 (#479753)
L 5 (#41b292)
U 8 (#0156d3)
L 5 (#28da72)
U 5 (#093481)
R 5 (#38a262)
U 6 (#093483)
R 2 (#232a02)
U 3 (#4a34f3)
R 4 (#2cee90)
D 6 (#261611)
R 3 (#2979d0)
D 3 (#261613)
R 6 (#2e3e70)
U 6 (#3c73e3)
R 6 (#3e4eb2)
U 3 (#450573)
R 3 (#3a8da0)
U 8 (#0c90f3)
R 5 (#454740)
D 7 (#512103)
R 8 (#454742)
D 3 (#484823)
L 8 (#31f8c2)
D 5 (#7042d3)
R 5 (#433532)
D 6 (#4a7ad3)
R 3 (#4925e2)
D 4 (#2f1753)
R 3 (#019512)
U 4 (#03a033)
R 3 (#4d4932)
U 9 (#14be23)
R 3 (#1009e0)
U 3 (#0aed43)
R 2 (#66c2e0)
U 6 (#0aed41)
R 2 (#0af680)
U 3 (#2c1ce3)
R 5 (#1640e0)
U 3 (#4345a3)
R 4 (#730a72)
D 8 (#1ef853)
R 4 (#0423f0)
D 3 (#53c133)
R 6 (#3cd4c0)
D 7 (#658261)
R 4 (#402de0)
D 5 (#658263)
L 8 (#351910)
D 4 (#0f96b3)
L 2 (#31f8c0)
D 5 (#2ac2b3)
R 4 (#4f59c0)
D 6 (#6349a3)
R 7 (#4f59c2)
D 7 (#409a43)
R 3 (#4b5590)
D 5 (#2a76a1)
R 10 (#3c6170)
D 3 (#2fad71)
R 11 (#4597b0)
D 3 (#2fad73)
L 3 (#20fbc0)
D 5 (#48fc11)
L 4 (#0ee960)
D 4 (#19ed41)
L 2 (#33b710)
D 6 (#7ac9f3)
L 7 (#455d50)
U 8 (#7ac9f1)
L 7 (#2ea4a0)
U 2 (#5784a1)
L 4 (#01c362)
U 3 (#034421)
L 5 (#335dd2)
D 9 (#242de3)
L 2 (#439ce2)
D 4 (#242de1)
L 4 (#26f8d2)
D 8 (#034423)
R 5 (#080222)
D 8 (#4a0e41)
R 2 (#60bea0)
D 10 (#3e6533)
R 5 (#4057a0)
D 4 (#3c47e1)
R 4 (#755410)
U 7 (#2948b1)
R 5 (#755412)
U 3 (#3507a1)
L 5 (#3cd8c0)
U 7 (#11e483)
R 3 (#1c8e10)
U 2 (#1cc4e3)
R 4 (#32b620)
U 3 (#642d83)
R 4 (#011140)
D 4 (#07c153)
R 4 (#0bbf30)
D 4 (#2b5e91)
R 7 (#3f5b30)
D 7 (#407d93)
R 3 (#365730)
D 3 (#407d91)
R 7 (#350d80)
D 3 (#2b5e93)
R 2 (#466b90)
D 4 (#3e6531)
R 5 (#1a1ef0)
D 3 (#746123)
L 3 (#264eb0)
D 4 (#1701a3)
L 7 (#3418f0)
D 3 (#517b83)
R 10 (#3018a2)
D 5 (#4fe233)
R 5 (#3018a0)
D 3 (#050463)
R 3 (#66f640)
D 7 (#4c75c1)
L 4 (#0ec242)
D 6 (#3ef951)
L 3 (#0ec240)
D 6 (#31f4a1)
L 3 (#2a54e0)
D 2 (#2cd4e3)
L 6 (#1ac840)
D 4 (#0ee1b3)
L 2 (#42ac72)
D 6 (#525f13)
L 8 (#42ac70)
D 4 (#2c7c13)
L 5 (#0ec8e0)
D 4 (#1663a1)
L 2 (#371830)
D 3 (#2f8b71)
L 2 (#289f50)
D 2 (#386c51)
L 136
U 87
